,value,value_unc,qcflag
2006-07-05,1763.5775,2.05,...
2006-07-12,1779.83,2.05,...
2006-07-19,1765.4125,2.05,...
2006-07-26,1764.1275,2.05,...
2006-08-02,1752.5625,2.05,...
2006-08-09,1757.48,2.05,...
2006-08-16,1763.1925,2.05,...
2006-08-23,1769.4975,2.05,...
2006-08-30,1761.8125,2.05,...
2006-09-06,1776.2525,2.05,...
2006-09-13,1767.2775,2.05,...
2006-09-20,1785.3225,2.05,...
2006-09-27,1776.1075,2.05,...
2006-10-04,1775.7175,2.05,...
2006-10-11,1794.065,2.05,...
2006-10-18,1798.31,2.05,...
2006-10-25,1803.26,2.05,...
2006-11-01,1787.625,2.05,...
2006-11-08,1779.62,2.05,...
2006-11-15,1780.7475,2.05,...
2006-11-22,1792.485,2.05,...
2006-11-29,1799.9450000000002,2.05,...
2006-12-06,1799.255,2.05,...
2006-12-13,1790.76,2.05,...
2006-12-20,1804.27,2.05,...
2006-12-27,1792.115,2.05,...
2007-01-03,1794.025,2.05,...
2007-01-10,1800.1275,2.05,...
2007-01-17,1789.3775,2.05,...
2007-01-24,1806.4099999999999,2.05,...
2007-01-31,1788.2475,2.05,...
2007-02-07,1796.2475,2.05,...
2007-02-14,1829.22,2.05,...
2007-02-21,1817.6025,2.05,...
2007-02-28,1805.01,2.05,...
2007-03-06,1770.66,2.05,...
2007-03-13,1785.1825,2.05,...
2007-03-21,1815.4375,2.05,...
2007-03-28,1802.1025,2.05,...
2007-04-05,1805.14,2.05,...
2007-04-11,1796.675,2.05,...
2007-04-18,1817.295,2.05,...
2007-04-25,1803.28,2.05,...
2007-05-02,1795.8975,2.05,...
2007-05-09,1779.565,2.05,...
2007-05-16,1789.6525,2.05,...
2007-05-23,1801.4733333333334,2.05,...
2007-05-30,1792.3625,2.05,...
2007-06-06,1793.46,2.05,...
2007-06-13,1789.8525,2.05,...
2007-06-20,1772.96,2.05,...
2007-06-27,1765.75,2.05,...
2007-07-05,1767.6950000000002,2.05,...
2007-07-11,1774.335,2.05,...
2007-07-18,1770.475,2.05,...
2007-07-25,1785.455,2.05,...
2007-08-01,1764.9975,2.05,...
2007-08-08,1768.9724999999999,2.05,...
2007-08-15,1771.0825,2.05,...
2007-08-22,1802.7275,2.05,...
2007-08-29,1777.2,2.05,...
2007-09-05,1774.1725,2.05,...
2007-09-13,1809.6875,2.05,...
2007-09-20,1779.24,2.05,...
2007-09-27,1795.0425,2.05,...
2007-10-04,1816.9775,2.05,...
2007-10-11,1800.7075,2.05,...
2007-10-17,1792.7375,2.05,...
2007-10-25,1794.51,2.05,...
2007-11-01,1819.1575,2.05,...
2007-11-08,1802.5375,2.05,...
2007-11-15,1802.665,2.05,...
2007-11-21,1819.67,2.05,...
2007-11-28,1781.9075,2.05,...
2007-12-07,1810.52,2.05,...
2007-12-13,1802.7475,2.05,...
2007-12-20,1813.6025,2.05,...
2007-12-26,1794.085,2.05,...
2008-01-02,1816.9375,2.05,...
2008-01-10,1794.655,1.31,...
2008-01-17,1813.395,1.31,...
2008-01-24,1811.4425,1.31,...
2008-01-31,1828.5575000000001,1.31,...
2008-02-07,1796.4724999999999,2.05,...
2008-02-14,1811.1,1.31,...
2008-02-20,1790.0225,2.05,...
2008-02-28,1774.3025,1.31,...
2008-03-06,1820.0975,1.31,...
2008-03-13,1785.185,2.05,...
2008-03-20,1784.5725,2.05,...
2008-03-27,1785.705,2.05,...
2008-04-03,1825.3899999999999,1.31,...
2008-04-10,1773.3374999999999,2.05,...
2008-04-17,1779.6475,1.31,...
2008-04-24,1786.0025,1.31,...
2008-05-01,1787.8425,1.31,...
2008-05-08,1816.4925,1.31,...
2008-05-14,1806.705,1.31,...
2008-05-22,1798.17,1.31,...
2008-05-29,1782.0925,1.31,...
2008-06-05,1787.93,1.31,...
2008-06-10,1799.305,1.31,...
2008-06-19,1799.06,1.31,...
2008-06-26,1783.175,2.05,...
2008-07-03,1779.6125000000002,1.31,...
2008-07-10,1776.6275,1.31,...
2008-07-17,1793.81,2.05,...
2008-07-24,1776.07,1.31,...
2008-07-31,1775.1525000000001,1.31,...
2008-08-08,1784.8474999999999,1.31,...
2008-08-14,1770.465,1.31,...
2008-08-21,1787.2275,2.05,...
2008-08-26,1790.81,2.05,...
2008-09-04,1777.43,2.05,...
2008-09-11,1802.3274999999999,1.31,...
2008-09-18,1781.9125,2.05,...
2008-09-25,1776.905,2.05,...
2008-10-02,1817.83,1.31,...
2008-10-09,1833.0825,2.05,...
2008-10-16,1819.6625,1.31,...
2008-10-23,1828.0075,1.31,...
2008-10-30,1808.4075,1.31,...
2008-11-06,1789.7375,1.68,...
2008-11-13,1824.365,1.31,...
2008-11-20,1820.0125,1.31,...
2008-11-26,1799.865,1.31,...
2008-12-04,1815.4325,2.05,...
2008-12-11,1797.135,1.31,...
2008-12-17,1819.7775000000001,2.05,...
2008-12-24,1820.415,1.31,...
2009-01-02,1807.805,2.05,...
2009-01-08,1814.2375,2.05,...
2009-01-15,1817.91,2.05,...
2009-01-22,1825.57,2.05,...
2009-01-29,1832.0700000000002,2.05,...
2009-02-05,1806.4375,1.68,...
2009-02-12,1798.3600000000001,2.05,...
2009-02-19,1802.5225,1.31,...
2009-02-26,1819.2325,1.31,...
2009-03-05,1815.35,1.31,...
2009-03-12,1844.0,2.05,...
2009-03-19,1793.275,1.31,...
2009-03-25,1818.4275,2.05,...
2009-04-02,1819.145,1.31,...
2009-04-09,1812.025,2.05,...
2009-04-16,1794.88,1.31,...
2009-04-23,1785.385,1.31,...
2009-04-30,1810.625,2.05,...
2009-05-07,1796.965,1.31,...
2009-05-14,1809.2125,1.68,...
2009-05-21,1814.19,1.31,...
2009-05-28,1796.2175,1.68,...
2009-06-03,1808.655,1.31,...
2009-06-11,1807.3225,1.31,...
2009-06-17,1793.4825,1.31,...
2009-06-24,1811.925,1.31,...
2009-07-02,1811.6825,2.05,...
2009-07-09,1788.395,2.05,...
2009-07-16,1789.5975,2.05,...
2009-07-21,1787.6975,2.05,...
2009-07-30,1790.67,1.31,...
2009-08-06,1797.105,1.31,...
2009-08-13,1780.2150000000001,2.05,...
2009-08-18,1787.5075,2.05,...
2009-08-25,1786.3674999999998,1.31,...
2009-09-01,1797.3799999999999,1.31,...
2009-09-08,1790.4275,1.31,...
2009-09-15,1804.5525,1.31,...
2009-09-22,1796.8899999999999,1.31,...
2009-09-30,1824.6799999999998,1.31,...
2009-10-06,1815.88,1.31,...
2009-10-13,1822.445,2.05,...
2009-10-20,1797.84,1.31,...
2009-10-27,1803.1325,1.31,...
2009-11-03,1804.965,1.31,...
2009-11-10,1813.99,1.31,...
2009-11-17,1822.6475,1.31,...
2009-11-23,1820.99,1.31,...
2009-12-01,1824.1575,1.31,...
2009-12-09,1810.9575,1.31,...
